Year,Start,End,Too much,Too Little,About Right,Unsure
2018,3/1/2018,3/8/2018,0.09,0.62,0.28,0.01
2013,3/7/2013,3/10/2013,0.16,0.47,0.35,0.02
2012,3/8/2012,3/11/2012,0.17,0.51,0.3,0.02
2011,3/3/2011,3/6/2011,0.16,0.49,0.33,0.02
2010,3/4/2010,3/7/2010,0.15,0.46,0.35,0.04
2006,3/13/2006,3/16/2006,0.04,0.62,0.33,0.01
2005,3/7/2005,3/10/2005,0.05,0.58,0.34,0.03
2004,3/8/2004,3/11/2004,0.05,0.55,0.37,0.03
2003,3/3/2003,3/5/2003,0.07,0.51,0.37,0.05
2000,4/3/2000,4/9/2000,0.1,0.58,0.3,0.02
1992,1/5/1992,3/31/1992,0.04,0.68,0.26,0.02
